house,sqft,beds,baths,heat,style,garage,basement,age,fire,price,school
1,1610,3,2,0,Cape Cod,1,1,12,1,234280,Apple Valley
2,2151,3,2,1,Cape Cod,2,0,13,1,246360,Plum Ridge
3,1718,4,2,0,Cape Cod,2,1,17,0,265650,Plum Ridge
4,1534,3,2,0,Cape Cod,2,1,11,1,237420,Plum Ridge
5,1527,3,2,0,Cape Cod,1,0,6,1,259170,Plum Ridge
6,1410,3,2,0,Cape Cod,2,1,17,1,227600,Plum Ridge
7,2122,3,2,0,Cape Cod,2,1,20,0,256440,Plum Ridge
8,2027,4,3,0,Cape Cod,2,1,12,0,249620,Plum Ridge
9,2248,4,2,0,Cape Cod,2,1,18,0,269490,Plum Ridge
10,1470,3,2,0,Cape Cod,2,0,13,1,249310,Plum Ridge
11,1430,3,2,0,Cape Cod,2,1,9,0,228580,Apple Valley
12,1163,3,2,0,Cape Cod,1,0,8,0,223890,Plum Ridge
13,2237,4,2,0,Cape Cod,2,0,13,1,255840,Apple Valley
14,2200,4,2,1,Cape Cod,2,1,13,1,292940,Plum Ridge
15,1859,3,2,0,Cape Cod,2,0,8,0,303960,Apple Valley
16,1961,4,2,0,Cape Cod,2,0,15,1,264360,Plum Ridge
17,1773,3,2,0,Cape Cod,2,1,8,1,313040,Apple Valley
18,1937,3,3,0,Cape Cod,2,0,11,1,286570,Plum Ridge
19,1707,3,2,0,Cape Cod,2,1,14,0,312950,Apple Valley
20,1763,3,3,0,Cape Cod,2,0,18,1,250200,Plum Ridge
21,2199,3,3,1,Cape Cod,2,1,13,1,268580,Plum Ridge
22,1902,3,2,0,Cape Cod,2,0,9,1,296420,Plum Ridge
23,2286,4,3,0,Cape Cod,2,0,13,1,300650,Plum Ridge
24,1533,3,2,0,Cape Cod,2,0,5,1,303250,Plum Ridge
25,1916,3,2,0,Cape Cod,2,1,7,1,365160,Apple Valley
26,1966,5,3,0,Cape Cod,2,0,13,1,276020,Plum Ridge
27,1506,3,2,0,Cape Cod,2,1,4,1,293220,Plum Ridge
28,2294,3,2,1,Cape Cod,2,0,10,1,357530,Apple Valley
29,1998,4,3,0,Cape Cod,2,1,7,1,351120,Apple Valley
30,1902,3,2,0,Cape Cod,2,1,10,1,369770,Apple Valley
31,2164,4,3,0,Cape Cod,2,1,17,1,322510,Apple Valley
32,2238,4,3,0,Cape Cod,2,1,9,1,339860,Plum Ridge
33,1938,3,3,0,Cape Cod,2,1,9,1,335360,Plum Ridge
34,1968,4,3,0,Cape Cod,2,1,3,1,363490,Apple Valley
35,2256,5,3,0,Cape Cod,2,1,12,1,358430,Plum Ridge
36,2134,3,3,0,Cape Cod,2,1,9,1,348830,Apple Valley
37,2319,4,3,1,Cape Cod,3,1,17,1,399710,Apple Valley
38,2409,4,3,0,Cape Cod,2,1,11,1,405350,Apple Valley
39,2935,4,3,0,Cape Cod,3,1,6,1,618850,Plum Ridge
40,1279,4,2,0,Two-story,2,1,19,1,253240,Plum Ridge
41,861,3,2,0,Two-story,2,1,19,0,197300,Plum Ridge
42,1435,5,2,0,Two-story,2,1,17,0,274150,Plum Ridge
43,1139,4,2,0,Two-story,2,1,16,1,253880,Apple Valley
44,1216,5,2,0,Two-story,2,1,17,1,246440,Plum Ridge
45,1269,4,2,1,Two-story,1,1,11,0,316000,Apple Valley
46,1439,4,3,0,Two-story,2,1,19,1,296440,Plum Ridge
47,1287,3,2,0,Two-story,2,1,11,1,243720,Apple Valley
48,1369,4,3,0,Two-story,2,1,12,0,252750,Plum Ridge
49,1222,4,2,0,Two-story,2,1,18,1,312340,Apple Valley
50,1626,3,2,0,Two-story,2,1,8,0,312450,Plum Ridge
51,1535,3,2,0,Two-story,2,1,13,1,277010,Plum Ridge
52,1525,4,3,0,Two-story,2,1,16,0,367830,Apple Valley
53,1585,3,2,0,Two-story,2,1,11,1,338420,Plum Ridge
54,1849,3,2,0,Two-story,2,1,10,0,338590,Apple Valley
55,1598,4,2,0,Two-story,2,1,14,1,311830,Apple Valley
56,1512,4,3,0,Two-story,2,1,17,1,329920,Apple Valley
57,2270,4,3,0,Two-story,2,1,9,1,332740,Apple Valley
58,1604,3,2,0,Two-story,2,1,7,1,343670,Apple Valley
59,1662,3,2,0,Two-story,2,1,22,0,325990,Apple Valley
60,1679,4,3,0,Two-story,2,1,13,1,313940,Plum Ridge
61,2225,3,2,0,Two-story,2,1,14,1,337250,Plum Ridge
62,2178,4,3,0,Two-story,2,1,13,1,359880,Apple Valley
63,2304,5,3,1,Two-story,2,1,9,1,394350,Apple Valley
64,1985,5,3,0,Two-story,3,1,13,1,492990,Apple Valley
65,1742,3,2,1,Ranch,2,1,13,1,306740,Apple Valley
66,2128,3,3,0,Ranch,2,0,7,0,311440,Apple Valley
67,1816,3,3,0,Ranch,2,1,12,1,304710,Apple Valley
68,1825,3,2,0,Ranch,2,1,7,1,280360,Apple Valley
69,1419,3,2,0,Ranch,2,1,8,1,271540,Apple Valley
70,1965,3,3,0,Ranch,2,1,10,1,316330,Apple Valley
71,1692,3,3,0,Ranch,2,0,1,0,333020,Apple Valley
72,2153,4,4,0,Ranch,2,1,16,1,358630,Apple Valley
73,1728,3,3,0,Ranch,2,1,8,1,310970,Apple Valley
74,2194,4,3,0,Ranch,2,1,15,1,304780,Plum Ridge
75,2072,4,3,0,Ranch,2,1,9,1,330690,Apple Valley
76,2042,3,3,0,Ranch,2,1,12,1,322410,Plum Ridge
77,2299,3,3,0,Ranch,2,1,7,1,372660,Apple Valley
78,1657,3,3,0,Ranch,2,1,3,1,303890,Apple Valley
79,2551,4,3,0,Ranch,2,1,12,1,351280,Plum Ridge
80,1894,3,3,1,Ranch,2,1,12,1,333480,Plum Ridge
81,2333,3,3,0,Ranch,2,1,7,1,350580,Apple Valley
82,2131,4,3,0,Ranch,2,1,13,0,340740,Plum Ridge
83,2296,4,3,1,Ranch,2,1,19,1,414930,Apple Valley
84,2327,3,3,0,Ranch,2,1,11,0,393450,Apple Valley
85,2550,3,3,0,Ranch,2,0,17,1,352360,Apple Valley
86,2382,3,3,0,Ranch,2,1,9,1,405480,Apple Valley
87,2804,5,3,0,Ranch,2,1,9,0,409520,Apple Valley
88,2185,4,3,1,Ranch,2,1,11,1,363950,Apple Valley
89,2309,3,3,0,Ranch,2,1,7,1,373590,Plum Ridge
90,2441,4,4,1,Ranch,2,1,9,1,404360,Apple Valley
91,2389,3,3,0,Ranch,2,1,5,1,405590,Apple Valley
92,2208,5,4,0,Ranch,2,1,8,1,356700,Apple Valley
93,2497,6,4,0,Ranch,2,1,21,1,402730,Apple Valley
94,2307,4,3,1,Ranch,2,1,11,1,424240,Apple Valley
95,2428,4,3,0,Ranch,2,1,20,1,417390,Apple Valley
96,2081,4,3,0,Ranch,2,1,19,1,388570,Apple Valley
97,2386,3,3,0,Ranch,3,1,6,1,451790,Apple Valley
98,2605,3,3,0,Ranch,3,1,7,1,459700,Apple Valley
99,2423,3,3,0,Ranch,3,1,10,1,430330,Apple Valley
100,2588,4,3,0,Ranch,2,1,6,1,433960,Plum Ridge
101,2600,5,3,0,Ranch,2,1,12,1,460560,Apple Valley
102,2476,4,3,1,Ranch,2,1,5,1,429830,Plum Ridge
103,2320,3,3,0,Ranch,3,1,2,1,442390,Apple Valley
104,2488,4,3,0,Ranch,2,1,9,1,503950,Apple Valley
105,2662,4,3,0,Ranch,2,1,6,1,490920,Apple Valley
106,2847,4,3,1,Ranch,2,1,6,1,565120,Apple Valley
107,2579,4,3,0,Ranch,2,1,7,1,485030,Apple Valley
108,3222,4,3,0,Ranch,3,1,1,1,675030,Apple Valley
